Fake_Student_ID,Race,Ethnicity,Sex,LEP,HomeLanguage,SpEdFlag,TAGFlag,Econ_Disadvantage,Migrant,DyslexiaFlag
11095181,White,N,M,F,English,F,F,F,N,F
11095193,Black or African American,N,M,F,English,F,F,F,N,F
11095196,Hispanic,H,F,T,Spanish,T,F,T,N,F
11095199,White,N,M,F,English,F,T,F,N,F
11095205,Black or African American,N,F,F,English,F,F,T,N,F
11095223,Hispanic,H,F,T,Spanish,F,F,T,N,F
11095247,Hispanic,H,M,T,Spanish,F,F,T,N,F
11095256,Hispanic,H,F,T,Spanish,F,F,T,N,F
11095259,Hispanic,H,M,T,Spanish,F,F,T,N,F
11095268,Hispanic,H,F,T,Spanish,F,F,T,N,F
11095286,Hispanic,H,F,T,Spanish,F,F,T,N,F
11095289,Black or African American,N,M,F,English,F,F,T,N,F
11095292,Hispanic,H,M,T,Spanish,F,T,T,N,T
11095295,White,N,M,F,English,F,T,F,N,F
11095304,Hispanic,H,M,F,English,F,F,T,N,F
11095322,Hispanic,H,M,T,Spanish,F,F,T,N,F
11095331,White,N,M,F,English,F,T,F,N,F
11095337,White,N,F,F,English,F,T,F,N,F
11095343,M Multi-Racial,N,F,F,English,F,F,F,N,F
11095346,Hispanic,H,M,T,Spanish,F,F,T,N,F
11095352,White,N,F,F,English,F,F,F,N,F
11095367,Hispanic,H,M,T,Spanish,F,F,T,N,F
11095370,Hispanic,H,M,T,Spanish,T,F,T,N,F
11095373,Hispanic,H,F,T,Spanish,F,F,F,N,F
11095391,Hispanic,H,F,T,Spanish,F,F,T,N,F
11095400,Hispanic,H,M,T,Spanish,F,F,T,N,F
11095415,White,N,F,F,English,F,T,F,N,F
11095430,White,N,F,F,English,F,T,F,N,F
11095436,Black or African American,N,M,F,English,F,F,T,N,F
11095448,White,N,M,F,English,F,T,F,N,F
11095457,White,N,F,F,English,F,T,F,N,F
11095466,Hispanic,H,F,T,Spanish,F,F,T,N,F
11095469,Hispanic,H,F,F,English,F,F,T,N,F
11095478,Hispanic,H,M,F,English,F,F,F,N,F
11095493,White,N,F,F,English,F,T,F,N,F
11095505,Hispanic,H,M,T,Spanish,F,F,T,N,F
11095520,Hispanic,H,F,T,Spanish,F,T,T,N,F
11095532,White,N,M,F,English,F,T,F,N,F
11095550,White,N,M,F,English,T,T,F,N,F
11095559,White,N,F,F,English,F,F,F,N,F
11095565,Hispanic,H,M,T,Spanish,F,F,T,N,F
11095568,White,N,M,F,English,F,T,F,N,F
11095574,Hispanic,H,F,F,English,F,F,T,N,F
11095601,Hispanic,H,F,F,English,F,F,T,N,F
11095604,Asian,N,F,T,Karen,F,F,T,N,F
11095631,Hispanic,H,F,T,Spanish,F,F,T,N,F
11095646,Hispanic,H,F,T,Spanish,F,F,T,N,F
11095664,Hispanic,H,F,T,Spanish,F,F,T,N,F
11095676,White,N,M,F,English,F,F,F,N,F
11095682,Hispanic,H,F,F,English,F,T,F,N,F
11095703,White,N,F,F,English,F,T,F,N,F
11095721,White,N,F,F,English,F,F,F,N,F
11095730,Hispanic,H,M,F,English,F,F,T,N,F
11095733,Hispanic,H,M,T,Spanish,F,F,T,N,F
11095757,White,N,M,F,English,F,T,F,N,F
11095772,Hispanic,H,M,T,Spanish,T,F,T,N,F
11095778,M Multi-Racial,N,F,F,English,F,F,T,N,F
11095784,Hispanic,H,F,T,Spanish,F,F,T,N,F
11095808,White,N,F,F,English,F,T,F,N,F
11095841,White,N,F,F,English,F,F,F,N,F
11095847,White,N,F,F,English,F,F,F,N,F
11095862,Hispanic,H,F,T,Spanish,F,F,T,N,F
11095868,M Multi-Racial,N,F,F,English,F,T,F,N,F
11095898,White,N,F,F,English,F,T,F,N,F
11095904,White,N,F,F,English,F,T,T,N,F
11095913,White,N,F,F,English,F,T,F,N,F
11095916,Hispanic,H,M,F,English,F,F,F,N,F
11095940,White,N,F,F,English,F,F,T,N,F
11095955,Hispanic,H,F,T,Spanish,F,F,T,N,F
11095985,White,N,F,F,English,F,F,F,N,F
11095988,White,N,F,F,English,F,F,F,N,F
11096012,Hispanic,H,F,F,English,F,T,T,N,F
11096021,M Multi-Racial,N,F,F,English,F,F,T,N,F
11096030,Black or African American,N,M,F,English,F,F,T,N,F
11096045,Hispanic,H,F,T,Spanish,F,F,T,N,F
11096057,White,N,F,F,English,F,F,T,N,F
11096078,Hispanic,H,F,T,Spanish,F,T,T,N,F
11096108,Hispanic,H,M,F,English,F,F,T,N,F
11096114,White,N,M,F,English,F,F,F,N,F
11096120,Hispanic,H,F,F,English,F,T,T,N,F
11096123,White,N,M,F,English,F,T,F,N,F
11096141,Hispanic,H,F,F,English,F,T,F,N,F
11096147,Hispanic,H,F,F,English,F,F,F,N,F
11096159,Hispanic,H,F,T,Spanish,F,F,T,N,F
11096165,White,N,F,F,English,F,F,F,N,F
11096180,White,N,F,F,English,F,T,F,N,F
11096186,White,N,M,F,English,F,F,F,N,F
11096189,White,N,F,F,English,F,T,F,N,F
11096192,White,N,M,F,English,F,T,F,N,F
11096198,Black or African American,N,M,F,English,F,F,T,N,F
11096201,Hispanic,H,M,T,Spanish,F,T,T,N,F
11096204,Hispanic,H,M,F,English,T,T,F,N,F
11096210,Black or African American,N,M,F,English,F,F,T,N,F
11096222,White,N,F,F,English,F,T,F,N,F
11096225,Black or African American,N,M,F,English,F,F,T,N,F
11096234,White,N,F,F,English,F,T,F,N,F
11096237,White,N,M,F,English,F,T,F,N,F
11096246,Hispanic,H,F,F,English,F,F,T,N,F
11096264,Hispanic,H,F,T,Spanish,F,F,T,N,F
11096267,Hispanic,H,F,F,Spanish,F,F,F,N,F
11096273,White,N,M,F,English,F,T,F,N,F
11096279,White,N,M,F,English,F,F,F,N,F
11096285,White,N,F,F,English,F,T,F,N,F
11096294,White,N,M,F,English,F,T,F,N,F
11096300,White,N,F,F,English,F,T,F,N,F
11096303,White,N,M,F,English,F,T,F,N,F
11096309,Hispanic,H,M,T,Spanish,F,F,T,N,F
11096315,Hispanic,H,F,F,Spanish,F,F,T,N,F
11096321,Hispanic,H,M,T,Spanish,F,F,T,N,F
11096324,White,N,M,F,English,F,T,F,N,F
11096330,White,N,M,F,English,F,F,F,N,F
11096339,Hispanic,H,M,F,English,F,F,T,N,F
11096348,White,N,M,F,English,F,T,F,N,F
11096354,Hispanic,H,F,T,Spanish,F,F,T,N,F
11096363,White,N,F,T,French,F,F,T,N,F
11096375,White,N,F,F,English,F,F,F,N,F
11096390,White,N,F,F,English,F,F,F,N,F
11096396,Black or African American,N,F,F,English,F,F,F,N,F
11096414,Hispanic,H,F,T,Spanish,F,F,T,N,F
11096429,Hispanic,H,M,T,Spanish,T,F,T,N,F
11096438,Hispanic,H,M,F,English,F,F,T,N,F
11096441,Hispanic,H,F,T,Spanish,F,F,T,N,F
11096462,Hispanic,H,M,F,English,F,F,T,N,F
11096465,Hispanic,H,M,F,English,T,F,T,N,F
11096486,M Multi-Racial,N,F,F,English,F,T,F,N,F
11096492,White,N,F,F,English,F,T,F,N,F
11096498,White,N,F,F,English,F,T,F,N,F
11096507,Hispanic,H,F,F,English,F,T,F,N,F
11096510,White,N,F,F,English,F,F,F,N,F
11096519,Hispanic,H,M,T,Spanish,F,F,T,N,F
11096594,Hispanic,H,F,T,Spanish,F,F,T,N,F
11096597,White,N,M,F,English,F,T,F,N,F
11096603,Hispanic,H,M,T,Spanish,F,F,T,N,F
11096612,Hispanic,H,F,F,Spanish,F,F,F,N,F
11096621,White,N,M,F,English,F,F,F,N,F
11096624,Black or African American,N,M,F,English,F,F,T,N,F
11096663,Hispanic,H,F,F,English,F,F,T,N,F
11096696,Hispanic,H,F,F,Spanish,F,T,T,N,F
11096744,Hispanic,H,F,F,English,F,F,F,N,F
11096762,Hispanic,H,F,F,English,F,F,F,N,F
11096774,M Multi-Racial,N,M,F,English,F,F,F,N,F
11096846,Hispanic,H,F,T,Spanish,F,F,T,N,F
11096867,White,N,F,F,English,F,F,T,N,F
11096882,Hispanic,H,F,F,English,F,T,F,N,F
11096906,White,N,F,F,English,F,T,F,N,F
11096909,White,N,M,F,English,F,F,F,N,F
11096912,White,N,F,F,English,F,T,F,N,F
11096921,Hispanic,H,M,F,English,F,T,F,N,F
11096933,White,N,M,F,English,F,F,F,N,F
11096939,Hispanic,H,M,F,English,F,T,F,N,F
11096954,Hispanic,H,M,F,English,F,T,T,N,F
11096960,Hispanic,H,F,T,Spanish,F,F,T,N,F
11096972,Hispanic,H,M,T,Spanish,F,F,T,N,F
11096984,White,N,M,F,English,F,T,F,N,F
11096996,White,N,M,F,English,F,F,F,N,F
11097008,Hispanic,H,M,F,English,F,T,F,N,F
11097017,White,N,M,F,English,F,T,F,N,F
11097026,White,N,M,F,English,F,F,F,N,F
11097029,Black or African American,N,M,F,English,F,F,T,N,F
11097032,Hispanic,H,F,T,Spanish,F,F,T,N,F
11097035,Hispanic,H,M,F,English,F,F,T,N,F
11097041,White,N,F,F,English,F,T,F,N,F
11097050,Hispanic,H,F,F,Spanish,F,T,F,N,F
11097056,White,N,M,F,English,F,T,F,N,F
11097101,Hispanic,H,M,F,English,F,F,T,N,F
11097116,Hispanic,H,F,T,Spanish,F,F,T,N,F
11097182,Hispanic,H,F,F,English,F,F,F,N,F
11097185,Black or African American,N,M,F,English,F,F,F,N,F
11097194,Black or African American,N,M,F,English,F,F,F,N,F
11097203,White,N,M,F,English,F,F,F,N,F
11097212,White,N,F,F,English,F,F,F,N,F
11097221,M Multi-Racial,N,M,F,English,F,F,T,N,F
11097227,Hispanic,H,F,F,English,F,F,T,N,F
11097230,Hispanic,H,M,T,Spanish,F,F,T,N,F
11097275,Black or African American,N,F,F,English,F,T,F,N,F
11097278,White,N,M,F,English,F,T,F,N,F
11097281,M Multi-Racial,N,F,F,English,F,T,F,N,F
11097341,Hispanic,H,M,T,Spanish,F,T,T,N,F
11097353,Black or African American,N,F,F,English,F,F,T,N,F
11097362,Hispanic,H,M,T,Spanish,F,F,T,N,F
11097374,White,N,M,F,English,F,T,F,N,F
11097431,Hispanic,H,F,T,Spanish,F,F,T,N,F
11097437,Hispanic,H,F,T,Spanish,F,F,T,N,F
11097470,Hispanic,H,F,F,Spanish,F,T,F,N,F
11097479,Black or African American,N,M,F,English,F,F,T,N,F
11097485,Hispanic,H,M,F,English,T,F,T,N,F
11097488,White,N,M,F,English,F,F,F,N,F
11097494,Hispanic,H,F,T,Spanish,F,T,F,N,F
11097503,Hispanic,H,M,T,Spanish,F,F,T,N,F
11097515,White,N,F,F,English,F,T,T,N,F
11097539,Black or African American,N,M,F,English,F,F,T,N,F
11097593,Hispanic,H,F,F,English,F,F,T,N,F
11097611,White,N,M,F,English,F,F,F,N,F
11097614,White,N,F,F,English,F,T,F,N,F
11097620,Hispanic,H,F,T,English,F,F,T,N,F
11097623,White,N,F,F,English,F,T,F,N,F
11097653,Hispanic,H,M,T,Spanish,F,F,T,N,F
11097662,Hispanic,H,F,T,Spanish,F,F,F,N,F
11097665,Hispanic,H,F,F,English,F,T,T,N,F
11097713,Hispanic,H,F,T,Spanish,F,F,T,N,F
11097719,Hispanic,H,M,T,Spanish,F,F,T,N,F
11097731,Hispanic,H,F,T,Spanish,T,F,T,N,F
11097764,Hispanic,H,F,F,English,F,F,F,N,F
11097773,Hispanic,H,M,F,English,F,F,T,N,F
11097776,Black or African American,N,F,F,English,F,F,T,N,F
11097821,White,N,M,F,English,T,F,F,N,F
11097827,Hispanic,H,M,F,English,F,T,F,N,F
11097839,Hispanic,H,M,T,Spanish,F,F,T,N,F
11097866,White,N,F,F,English,F,F,F,N,F
11097881,Asian,N,M,F,English,F,T,F,N,F
11097899,Hispanic,H,F,T,Spanish,F,F,T,N,F
11097911,White,N,F,F,English,F,T,T,N,F
11097920,Hispanic,H,M,T,Spanish,F,F,T,N,F
11097926,White,N,M,F,English,F,T,F,N,F
11097929,Hispanic,H,F,F,English,F,F,F,N,F
11097959,Hispanic,H,F,T,Spanish,F,F,T,N,F
11097965,White,N,F,F,English,F,T,F,N,F
11097974,Hispanic,H,M,T,Spanish,F,F,T,N,F
11098013,Asian,N,M,F,Indo-European,F,T,F,N,F
11098019,Hispanic,H,F,T,Spanish,F,F,T,N,F
11098028,Hispanic,H,F,F,English,F,F,F,N,F
11098058,White,N,M,F,English,F,F,F,N,F
11098067,Hispanic,H,M,F,English,F,F,T,N,F
11098079,White,N,F,F,English,F,F,F,N,F
11098082,White,N,F,F,English,F,T,F,N,F
11098097,White,N,F,F,English,F,T,F,N,F
11098100,Hispanic,H,F,F,Spanish,F,F,T,N,F
11098109,M Multi-Racial,N,F,F,English,F,T,F,N,F
11098136,Hispanic,H,F,F,English,F,T,F,N,F
11098160,Hispanic,H,M,T,Spanish,F,F,T,N,F
11098178,Hispanic,H,M,T,Spanish,F,F,T,N,F
11098190,Hispanic,H,F,T,Spanish,F,F,T,N,F
11098214,Asian,N,F,F,English,F,F,F,N,F
11098241,Hispanic,H,F,F,English,F,F,T,N,F
11098247,White,N,M,F,English,F,F,F,N,F
11098256,White,N,M,F,English,F,T,F,N,F
11098268,M Multi-Racial,N,F,F,English,F,T,F,N,F
11098277,White,N,F,F,English,F,F,F,N,F
11098286,White,N,M,F,English,F,T,F,N,F
11098292,White,N,M,F,English,F,F,F,N,F
11098301,White,N,M,F,English,F,F,F,N,F
11098340,Hispanic,H,M,T,Spanish,F,F,T,N,F
11098394,White,N,M,F,English,F,F,F,N,F
11098403,White,N,F,F,English,F,T,F,N,F
11098406,Hispanic,H,F,T,Spanish,F,F,T,N,F
11098526,Hispanic,H,F,F,English,F,F,T,N,F
11098556,Black or African American,N,M,F,English,F,F,T,N,F
11098592,Hispanic,H,M,F,Spanish,F,F,T,N,F
11098673,White,N,M,F,English,F,F,F,N,F
11098685,Black or African American,N,F,F,English,F,F,T,N,F
11098862,Black or African American,N,M,F,English,F,F,T,N,F
11098868,Hispanic,H,M,T,Spanish,F,F,T,N,F
11098889,White,N,F,F,English,F,F,T,N,F
11098907,Black or African American,N,F,F,English,F,F,T,N,F
11098919,Hispanic,H,M,F,English,F,T,F,N,F
11098934,White,N,F,F,English,F,T,F,N,F
11098946,M Multi-Racial,N,M,F,English,F,T,F,N,F
11098949,M Multi-Racial,N,F,F,English,F,T,F,N,F
11098979,White,N,M,F,English,F,F,F,N,F
11098994,White,N,M,F,English,F,T,F,N,F
11098997,White,N,F,F,English,F,T,F,N,F
11099030,M Multi-Racial,N,F,T,Burmese,F,F,T,N,F
11099042,White,N,M,F,English,F,T,F,N,F
11099072,Hispanic,H,F,T,Spanish,F,F,T,N,F
11099078,White,N,F,F,English,F,F,F,N,F
11099102,Hispanic,H,F,T,Spanish,F,F,T,N,F
11099126,Hispanic,H,M,T,Spanish,F,T,F,N,F
11099252,Hispanic,H,F,F,English,F,F,T,N,F
11099282,White,N,M,F,Slavic,F,T,F,N,F
11099393,M Multi-Racial,N,F,F,English,T,F,F,N,F
11099438,M Multi-Racial,N,M,F,English,F,F,F,N,F
11099441,White,N,M,F,English,F,T,F,N,F
11099450,White,N,M,F,English,F,F,F,N,T
11099453,White,N,F,F,English,F,T,F,N,F
11099465,Hispanic,H,M,F,English,F,T,F,N,F
11099474,White,N,F,F,English,F,T,F,N,F
11099504,M Multi-Racial,N,M,F,English,F,F,F,N,F
11099555,White,N,M,F,English,F,T,F,N,F
11099567,M Multi-Racial,N,M,F,English,F,F,F,N,F
11099657,White,N,M,F,English,F,T,F,N,F
11099660,White,N,F,F,English,F,T,F,N,F
11099663,Hispanic,H,F,F,English,F,F,F,N,F
11099681,Hispanic,H,F,T,Spanish,F,F,T,N,F
11099729,White,N,F,F,English,F,F,T,N,F
11099825,Hispanic,H,M,T,Spanish,F,F,T,N,F
11099846,Hispanic,H,F,T,Spanish,F,F,T,N,F
11099858,Hispanic,H,F,T,Spanish,F,F,T,N,F
11099891,White,N,M,F,English,F,T,F,N,F
11099903,Black or African American,N,F,F,English,F,F,T,N,F
11099972,White,N,M,F,English,F,F,F,N,F
11099975,Asian,N,F,F,English,F,T,F,N,F
11099990,Hispanic,H,F,T,Spanish,F,F,T,N,F
11099999,Hispanic,H,M,T,Spanish,F,F,T,N,F
11100005,Hispanic,H,M,T,Spanish,F,F,T,N,F
11100017,Hispanic,H,F,F,English,F,F,T,N,F
11100035,Hispanic,H,M,T,Spanish,F,F,F,N,F
11100044,White,N,F,F,English,F,F,F,N,F
11100065,Hispanic,H,F,T,Spanish,F,F,T,N,F
11100071,Hispanic,H,M,T,Spanish,F,F,T,N,F
11100077,Hispanic,H,F,F,English,F,F,T,N,F
11100095,Hispanic,H,F,T,Spanish,F,F,T,N,F
11100191,Hispanic,H,F,T,Spanish,F,F,T,N,F
11100206,White,N,M,F,English,F,T,F,N,F
11100209,Black or African American,N,F,F,English,F,F,F,N,F
11100218,M Multi-Racial,N,M,F,English,F,T,F,N,F
11100257,Black or African American,N,M,F,English,F,T,F,N,F
11100260,White,N,M,F,English,F,F,F,N,F
11100281,M Multi-Racial,N,F,F,English,F,F,F,N,F
11100317,White,N,M,F,English,F,T,F,N,F
11100323,White,N,F,F,English,F,F,F,N,F
11100329,White,N,F,F,English,F,T,F,N,F
11100332,Hispanic,H,M,F,English,F,F,T,N,F
11100335,White,N,F,F,English,F,T,F,N,F
11100341,Black or African American,N,M,F,English,F,T,F,N,F
11100344,M Multi-Racial,N,M,F,English,F,F,F,N,F
11100362,White,N,M,F,English,F,F,F,N,F
11100365,M Multi-Racial,N,F,F,English,F,T,F,N,F
11100383,White,N,M,F,English,F,F,F,N,F
11100386,White,N,F,F,English,F,F,F,N,F
11100389,Hispanic,H,M,T,Spanish,F,F,T,N,F
11100392,White,N,M,F,English,F,F,F,N,F
11100395,White,N,F,F,English,F,F,F,N,F
11100404,Hispanic,H,M,T,Spanish,F,T,T,N,F
11100407,Hispanic,H,M,T,English,F,F,T,N,F
11100413,Hispanic,H,F,T,Spanish,F,F,T,N,F
11100419,M Multi-Racial,N,M,T,Chin,F,F,T,N,F
11100422,M Multi-Racial,N,M,F,English,F,F,F,N,F
11100425,White,N,M,F,English,F,T,F,N,F
11100434,Hispanic,H,M,F,English,F,F,T,N,F
11100440,White,N,F,F,English,F,T,F,N,F
11100443,Hispanic,H,M,F,English,F,F,T,N,F
11100446,White,N,F,F,English,F,F,F,N,F
11100452,White,N,M,F,English,F,F,F,N,F
11100458,White,N,F,F,English,F,F,F,N,F
11100461,M Multi-Racial,N,M,F,English,F,T,F,N,F
11100464,White,N,M,F,English,F,T,F,N,F
11100488,Hispanic,H,M,F,English,F,T,F,N,F
11100500,M Multi-Racial,N,M,F,English,F,F,F,N,F
11100524,Black or African American,N,F,F,English,F,F,T,N,F
11100530,Black or African American,N,M,F,English,F,F,T,N,F
11100542,Hispanic,H,F,F,English,F,T,T,N,F
11100560,White,N,M,F,English,F,T,F,N,F
11100575,Hispanic,H,M,F,English,F,F,T,N,F
11100602,Hispanic,H,F,F,English,F,F,T,N,F
11100614,Hispanic,H,M,F,English,F,F,T,N,F
11100617,White,N,M,F,English,F,T,T,N,F
11100623,White,N,M,F,English,F,T,F,N,F
11100635,Hispanic,H,F,F,Spanish,F,F,F,N,F
11100668,Hispanic,H,F,F,English,F,F,F,N,F
11100674,Hispanic,H,M,T,Spanish,F,F,T,N,F
11100680,Hispanic,H,F,F,Spanish,F,F,T,N,F
11100692,Hispanic,H,M,T,Spanish,F,T,F,N,F
11100704,White,N,M,F,English,F,F,F,N,F
11100767,White,N,M,F,English,F,T,F,N,F
11100770,Hispanic,H,M,F,English,F,F,T,N,F
11100785,Hispanic,H,F,T,Spanish,F,F,T,N,F
11100788,M Multi-Racial,N,M,F,English,F,T,F,N,F
11100794,M Multi-Racial,N,M,F,English,F,T,F,N,F
11100797,Hispanic,H,F,F,English,F,F,F,N,F
11100812,White,N,M,F,English,F,T,F,N,F
11100815,M Multi-Racial,N,M,F,English,F,F,F,N,F
11100824,White,N,F,F,English,F,T,F,N,F
11100827,White,N,F,F,English,F,T,F,N,F
11100836,Hispanic,H,M,T,Spanish,F,T,T,N,F
11100845,Hispanic,H,M,F,English,F,F,T,N,F
11100848,White,N,F,F,English,F,T,F,N,F
11100869,White,N,F,F,English,F,T,F,N,F
11100881,White,N,F,F,English,F,T,F,N,F
11100884,White,N,F,F,English,F,T,F,N,F
11100893,Hispanic,H,M,F,English,F,F,T,N,F
11100923,White,N,M,F,English,F,F,F,N,F
11100944,Hispanic,H,M,T,Spanish,F,F,T,N,F
11100959,Hispanic,H,M,F,English,T,F,T,N,F
11100968,Black or African American,N,F,F,English,F,F,T,N,F
11100989,White,N,M,F,English,F,F,F,N,F
11100992,M Multi-Racial,N,M,F,English,F,T,F,N,F
11100995,M Multi-Racial,N,M,F,English,F,T,F,N,F
11101004,Hispanic,H,F,F,English,F,F,F,N,F
11101028,Hispanic,H,M,F,English,F,T,T,N,F
11101040,White,N,M,F,English,F,T,F,N,F
11101043,Asian,N,F,F,English,F,F,F,N,F
11101061,White,N,M,F,English,F,T,F,N,F
11101064,White,N,F,F,English,F,T,F,N,F
11101067,White,N,F,F,English,F,F,F,N,F
11101070,Black or African American,N,F,F,English,F,F,T,N,F
11101073,Hispanic,H,F,T,Spanish,F,F,F,N,F
11101091,Black or African American,N,M,F,English,F,F,F,N,F
11101106,Hispanic,H,M,T,Spanish,F,F,T,N,F
11101112,M Multi-Racial,N,M,F,English,F,F,F,N,F
11101115,M Multi-Racial,N,F,F,English,F,T,F,N,F
